,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
130,Iball Aasaan 3,3.7 ★,"₹2,899",107 Ratings & 17 Reviews,10 MB RAM | 10 MB ROM |,2.31 inch Display,0.3MP Rear Camera
131,Mido M12,3.7 ★,₹589,139 Ratings & 19 Reviews,10 MB RAM | 10 KB ROM | Expandable Upto 8 GB,1.8 inch QVGA Display,0.3MP Rear Camera
132,Mido M12,3.7 ★,₹589,139 Ratings & 19 Reviews,10 MB RAM | 10 KB ROM | Expandable Upto 8 GB,1.8 inch QVGA Display,0.3MP Rear Camera
133,"Samsung Galaxy J8 (Gold, 64 GB)",4.4 ★,"₹18,990","1,829 Ratings & 293 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,6 inch HD+ Display,16MP + 5MP Dual Rear Camera | 16MP Front Camera
134,"Karbonn Titanium Jumbo 2 (Black, 16 GB)",3.8 ★,"₹6,199","1,806 Ratings & 397 Reviews",2 GB RAM | 16 GB ROM | Expandable Upto 64 GB,5.5 inch HD Display,13MP Rear Camera | 8MP Front Camera
135,Winstar C1,3.8 ★,₹999,"1,424 Ratings & 231 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.8 inch QVGA Display,0.3MP Rear Camera
136,I Kall K25,3.2 ★,₹549,702 Ratings & 158 Reviews,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,1.8 inch Display,0.3MP Rear Camera
137,Swipe ELITE Sense- 4G with VoLTE,3.7 ★,"₹5,999","18,705 Ratings & 5,873 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5 inch HD Display,13MP Rear Camera | 8MP Front Camera
138,Swipe ELITE Sense- 4G with VoLTE,3.7 ★,"₹5,999","18,705 Ratings & 5,873 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 128 GB,5 inch HD Display,13MP Rear Camera | 8MP Front Camera
139,I Kall K36,3.1 ★,₹939,327 Ratings & 67 Reviews,32 MB RAM | 64 MB ROM |,2.4 inch Display,0.3MP Rear Camera
140,"Micromax Bharat 2 Ultra (Black, 4 GB)",3.6 ★,"₹2,890",43 Ratings & 6 Reviews,512 MB RAM | 4 GB ROM | Expandable Upto 32 GB,4 inch Display,2MP Rear Camera | 0.3MP Front Camera
141,"Karbonn A1 INDIAN 4G with VoLTE (Black, 8 GB)",3.4 ★,"₹2,790",652 Ratings & 139 Reviews,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4 inch WVGA Display,3.2MP Rear Camera | 2MP Front Camera
142,"Karbonn A1 INDIAN 4G with VoLTE (Champagne, 8 GB)",3.4 ★,"₹2,859",652 Ratings & 139 Reviews,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4 inch Display,3.2MP Rear Camera | 2MP Front Camera
143,I Kall K72 Vibration Mobile/K72 Mobile,3.2 ★,₹469,"1,917 Ratings & 322 Reviews",32 MB RAM | 64 MB ROM |,1.4 inch Display,800 mAh Battery
144,"Karbonn A9 Indian 4G VoLTE (White & Champagne, 8 GB)",3.5 ★,"₹3,099",350 Ratings & 54 Reviews,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4.5 inch Display,5MP Rear Camera | 5MP Front Camera
145,"Karbonn A9 Indian 4G VoLTE (Champagne, 8 GB)",3.5 ★,"₹3,099",350 Ratings & 54 Reviews,1 GB RAM | 8 GB ROM | Expandable Upto 32 GB,4.5 inch Display,5MP Rear Camera | 5MP Front Camera
